yyyyddd, (0) Northern_Hemisphere, (1) Beaufort_Sea, (2) Chukchi_Sea, (3) East_Siberian_Sea, (4) Laptev_Sea, (5) Kara_Sea, (6) Barents_Sea, (7) Greenland_Sea, (8) Baffin_Bay_Gulf_of_St._Lawrence, (9) Canadian_Archipelago, (10) Hudson_Bay, (11) Central_Arctic, (12) Bering_Sea, (13) Baltic_Sea, (14) Sea_of_Okhotsk, (15) Yellow_Sea, (16) Cook_Inlet
 2014336,11668882.57, 1074998.39,  696800.69, 1072850.49,  894771.33,  928366.76,  473499.76,  523489.08,  647878.33,  853656.72, 1095308.55, 3242883.17,   84132.41,       0.00,   76064.99,       0.00,       0.00
 2014337,11644559.04, 1074998.39,  691507.68, 1075410.13,  894771.33,  917976.29,  498064.36,  514114.24,  644850.83,  853656.72, 1099930.07, 3243635.30,   78690.08,       0.00,   49021.60,      19.63,       0.00
 2014338,11773402.40, 1074998.39,  691904.35, 1075410.13,  894771.33,  917976.29,  498064.36,  514114.24,  717017.10,  853656.72, 1154631.23, 3243635.30,   80269.35,       0.00,   49021.60,      19.63,       0.00
 2014339,11824301.51, 1074998.39,  727577.81, 1074766.79,  894771.33,  922995.95,  516174.81,  476639.62,  689476.51,  853656.72, 1192514.58, 3224472.44,   87371.03,       0.00,   79844.65,     981.50,     146.98
 2014340,11910804.51, 1074998.39,  754188.65, 1077288.07,  894771.33,  928106.53,  558577.77,  476854.30,  693781.64,  853656.72, 1199696.54, 3225152.02,   84829.12,       0.00,   79844.65,     981.50,     146.98
 2014341,12058615.80, 1074998.39,  763045.64, 1081231.54,  894771.33,  934471.93,  550288.65,  496412.72,  793267.08,  853656.72, 1216321.59, 3226417.67,   84829.12,       0.00,   79844.65,     981.50,     146.98
 2014342,12098376.20, 1074998.39,  774279.42, 1081231.54,  894771.33,  934471.93,  559319.13,  508144.61,  793927.80,  853656.72, 1216321.59, 3226417.67,   91913.13,       0.00,   79844.65,    1001.02,     146.98
 2014343,12187712.78, 1074998.39,  780917.19, 1083053.53,  894771.33,  934471.93,  589372.03,  523819.37,  803656.98,  853656.72, 1216344.64, 3226365.52,   94979.14,       0.00,  102227.74,    1001.02,     146.98
 2014344,12195559.92, 1074998.39,  828544.17, 1083427.26,  894771.33,  932405.03,  462885.54,  511209.25,  828461.95,  853656.72, 1242818.37, 3233757.15,  105958.85,       0.00,  133588.55,    1000.09,     146.98
 2014345,12328737.58, 1074998.39,  831637.73, 1087195.51,  894771.33,  932405.03,  491086.71,  519500.53,  891626.89,  853656.72, 1261445.64, 3233757.15,  113872.80,       0.00,  133588.55,    1000.09,     146.98
 2014346,12365632.67, 1074998.39,  843312.79, 1087195.51,  894771.33,  932405.03,  483949.70,  524136.38,  891626.89,  853656.72, 1261445.64, 3238758.94,  136592.20,       0.00,  133588.55,    1000.09,     146.98
 2014347,12455163.44, 1074998.39,  897346.73, 1089543.44,  894771.33,  932405.03,  483949.70,  524136.38,  889328.68,  853656.72, 1254579.25, 3238758.94,  159834.07,       0.00,  152629.30,    1000.09,     146.98
 2014348,12485299.49, 1074998.39,  965251.51, 1089543.44,  894771.33,  931411.09,  403483.74,  518741.69,  879941.25,  853656.72, 1254172.14, 3231971.08,  186922.00,       0.00,  191224.11,    1000.09,     146.98
 2014349,12545462.45, 1074998.39,  965251.51, 1089543.44,  894771.33,  932155.00,  427807.14,  508786.49,  883954.39,  853656.72, 1254172.14, 3236298.25,  179412.63,    4360.45,  231083.57,    1000.09,     146.98
 2014350,12556832.96, 1074998.39,  965251.51, 1089543.44,  894771.33,  932405.03,  424028.74,  527374.06,  883954.39,  853656.72, 1249797.27, 3236298.25,  180124.74,    4360.45,  231057.64,    1000.09,     146.98
 2014351,12610999.16, 1074998.39,  965251.51, 1089543.44,  894771.33,  913084.21,  438230.41,  538742.59,  874314.11,  853656.72, 1254812.86, 3238719.80,  208997.72,    4360.45,  244400.83,    8903.87,     146.98
 2014352,12621703.19, 1074998.39,  965251.51, 1089543.44,  894771.33,  918246.85,  434761.63,  520230.35,  894706.41,  853656.72, 1254812.86, 3238719.80,  213701.59,    2704.39,  248014.37,    9372.66,     146.98
 2014353,12769311.09, 1074998.39,  965251.51, 1089543.44,  894771.33,  932852.87,  485098.63,  544499.30,  941626.73,  853656.72, 1255639.15, 3240459.53,  222573.27,    2704.39,  248014.37,    9372.66,     146.98
 2014354,12835690.74, 1074998.39,  965251.51, 1089543.44,  894771.33,  930792.88,  486360.75,  532966.53,  929151.68,  853656.72, 1257776.18, 3240459.53,  231763.54,    2704.39,  326869.07,   10375.97,     146.98
 2014355,12876408.87, 1074998.39,  965251.51, 1089543.44,  894771.33,  930792.88,  500679.36,  548594.75,  930186.93,  853656.72, 1257773.18, 3240467.45,  235009.33,    2704.39,  332231.05,   11499.33,     146.98
 2014356,12938668.86, 1074998.39,  965251.51, 1089543.44,  894771.33,  930792.88,  514123.57,  539855.78,  998696.49,  853656.72, 1261451.62, 3238152.35,  232044.80,    2704.39,  326326.20,    8050.57,     146.98
 2014357,13029244.05, 1074998.39,  965251.51, 1089543.44,  894771.33,  933541.46,  536519.91,  528025.15, 1018954.49,  853656.72, 1256241.12, 3240075.29,  263623.08,    2704.39,  357218.90,    5907.96,     146.98
 2014358,13115184.21, 1074998.39,  965251.51, 1089543.44,  894771.33,  933569.58,  572849.09,  536122.98, 1043118.24,  853656.72, 1256241.12, 3240075.29,  266936.92,    2704.39,  370095.87,    7038.45,     146.98
 2014359,13142687.04, 1074998.39,  965251.51, 1089543.44,  894771.33,  933569.58,  582510.79,  543198.37, 1049283.58,  853656.72, 1256241.12, 3240075.29,  266936.92,    2704.39,  374696.25,    7038.45,     146.98
 2014360,13243205.62, 1074998.39,  965251.51, 1089543.44,  894771.33,  933645.30,  619269.45,  580623.32, 1052755.53,  853656.72, 1256241.12, 3243975.87,  272431.27,    2704.39,  388088.61,    7038.45,     146.98
